"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"Griftlands","0","0","7","0","0.43","0.43","0.06","0.06","0.0","0.08","0.17","261","0.16","2020-12-28","601840"
"Five Dates (Foil)","0","0","8","0","12.35","12.35","1.54","0.07","95.5","0.10","0.05","7","0.24","2020-12-26","1353270"
"Five Dates","0","0","8","0","0.56","0.56","0.07","0.07","0.0","0.10","0.05","107","0.24","2020-12-26","1353270"
"Bingfa：Warring States (Foil)","0","0","6","0","250.68","250.68","41.78","N/A","0.0","1.28","3.61","1","0.39","2020-12-25","1270100"
"Amairo Chocolate (Foil)","0","0","6","0","32.95","32.95","5.49","0.29","94.7","0.34","1.14","5","0.37","2020-12-25","1238680"
"Bingfa：Warring States","0","0","6","0","0.92","0.92","0.15","N/A","0.0","1.28","3.61","13","0.39","2020-12-25","1270100"
"Amairo Chocolate","0","0","6","0","0.85","0.85","0.14","0.29","-107.1","0.34","1.14","44","0.37","2020-12-25","1238680"
"Mutilate-a-Doll 2 (Foil)","0","0","6","0","46.28","46.28","7.71","7.77","-0.8","0.94","7.74","4","0.26","2020-12-25","665370"
"Mutilate-a-Doll 2","0","0","6","0","0.59","0.59","0.10","7.77","-7,670.0","0.94","7.74","35","0.26","2020-12-25","665370"
"NEKOPARA Vol. 4 (Foil)","0","0","9","0","15.54","15.54","1.73","0.12","93.1","0.06","7.03","18","0.42","2020-12-25","1406990"
"Elemental Girls (Foil)","0","0","11","0","5.16","5.16","0.47","0.03","93.6","0.04","0.20","11","0.22","2020-12-25","1079310"
"NEKOPARA Vol. 4","0","0","9","0","1.11","1.11","0.12","0.12","0.0","0.06","7.03","415","0.42","2020-12-25","1406990"
"Elemental Girls","0","0","11","0","0.54","0.54","0.05","0.03","40.0","0.04","0.20","193","0.22","2020-12-25","1079310"
"Barro F (Foil)","0","0","12","0","1.21","1.21","0.10","0.02","80.0","0.09","0.03","12","0.21","2020-12-25","1239260"
"Barro F","0","0","12","0","0.52","0.52","0.04","0.02","50.0","0.09","0.03","220","0.21","2020-12-25","1239260"
